,id
0,539205962599391232
1,539190220382810112
2,539186197986177024
3,539180768791379968
4,539171888984236032
5,539168012532977664
6,539156436656590849
7,539147004921020416
8,539143373831950337
9,539140932554485762
10,539130087975964673
11,539128227126845440
12,539113465588092928
13,539108865452027906
14,539096514086580224
15,539080956871970816
16,539080406239174656
17,539054437793529856
18,539035799464214528
19,538977469039382529
20,538973166774022144
21,538970424982634496
22,538965704771653632
23,538964498489413632
24,538962879345856512
25,538955951307784192
26,538941491755114496
27,538937847042936832
28,538935117230923777
29,538933646955388928
30,538931326913507329
31,538922038555971584
32,538920471577001984
33,538913309865803776
34,538885563638878208
35,538866623986536449
36,538853572793085952
37,538846302939791360
38,538845120234545152
39,538841469034180608
40,538838718334119937
41,538835949669867520
42,538822327123726336
43,538814882343563264
44,538788772281073664
45,538779356114739200
46,538764609306779648
47,538741494933647361
48,538732645283143680
49,538711402408448001
50,538590958774784002
51,538575600047620097
52,538575465695678464
53,538563331716820993
54,538562933316272128
55,538552700431237120
56,538547882203574274
57,538530988037394432
58,538509316379004928
59,538483291134103553
60,538480718486450176
61,538473883670556672
62,538447299152605184
63,538446106230026243
64,538411277937565696
65,538409755136364546
66,538395179963920385
67,538386712582692864
68,538386695495122944
69,538383590988333058
70,538380477174804480
71,538373540039241728
72,538364394652975104
73,538357558978035712
74,538350914575564800
75,538348507090780161
76,538342912141316096
77,538340338772217857
78,538337749125046272
79,538327911166926848
80,538236620022239232
81,538184003208372224
82,538183926930735104
83,538182913997955073
84,538181215808135169
85,538171634251616256
86,538149583428534272
87,538144961141956611
88,538139507997278209
89,538135116942680064
90,538081892105723905
91,538053048484888576
92,538047918075559937
93,537971625850068993
94,537971014979031040
95,537970252936912896
96,537961729553362944
97,537957707785830401
98,537873866605871105
99,537834997101506560
100,537824775922802688
101,537815756495273984
102,537809341228011520
103,537772247306764288
104,537770687994560512
105,537755714492841984
106,537753976494510080
107,537741183444062208
108,537739869389193216
109,537732323035197441
110,537729153869426689
111,537712496313139200
112,537699019901124608
113,537695180644970496
114,537689776703680512
115,537672436552966144
116,537613047653597184
117,537601546264256512
118,537599987165573120
119,537561157633335296
120,537550398987714560
121,537544309802037249
122,537543360035422208
123,537489745224286211
124,537470578379075585
125,537465534158102529
126,537453942758981633
127,537436806158254080
128,537384426015969280
129,537379261540491264
130,537375736362172416
131,537361305074929664
132,537301552688402433
133,537298636808273920
134,537284456524963840
135,537283264566685696
136,537279971627376640
137,537276364102316034
138,537238581388247040
139,537223820852342784
140,537223469176717313
141,537213517124730881
142,537203190266347521
143,537196577735970816
144,537144093353467905
145,537119654297477120
146,537098873622503424
147,537089552620335105
148,537086989108252675
149,537073498091692032
150,537034304640262144
151,537009038559817729
152,537000464467128322
153,536973828224999424
154,536972011063758848
155,536964603201486849
156,536961770242727937
157,536953984486232064
158,536941003538956288
159,536934473959751681
160,536915517983174656
161,536911855835705345
162,536911088537702400
163,536906353609302016
164,536899697005568001
165,536854489253543936
166,536841946988568576
167,536737035520729088
168,536660948111876096
169,536647323397259264
170,536646654821425152
171,536634442539077633
172,536630830559670274
173,536623847546843137
174,536620870320398338
175,536620283147616257
176,536620266080976896
177,536609336894967809
178,536576339546210304
179,536566929008656384
180,536566831646277632
181,536565330383233024
182,536548118356307968
183,536540183853015041
184,536528069729988608
185,536527435152752640
186,536486492911460352
187,536451280777269248
188,536405861925920768
189,536399307096981505
190,536383449201127424
191,536380844215005184
192,536374667930767360
193,536372635912134657
194,536364582387064833
195,536358802510344192
196,536358328025493504
197,536355703586586625
198,536351013071237120
199,536341809366962179
200,536310580425261056
201,536310263977635841
202,536310108985102337
203,536309427029409793
204,536271004516229120
205,536237613439807488
206,536212793486508033
207,536206581445427201
208,536194173490429952
209,536190763021762560
210,536171545455259648
211,536168945313529856
212,536156091546353665
213,536059544057966592
214,536047428898541568
215,536043114264535040
216,536031808794525696
217,536030741285466113
218,536029639194333184
219,536024549112815617
220,536023793244725248
221,536023349915185153
222,536017597641129985
223,536017540213121024
224,536017021444833280
225,536008063757869056
226,536008020065796096
227,536006171237548032
228,536006163650068480
229,536006116229263360
230,536003204686036992
231,536000277946830848
232,535995775772553216
233,535995440412389376
234,535992397646544896
235,535991124838866944
236,535990954193608704
237,535989171408863232
238,535987089649967104
239,535983757573246976
240,535983414370111488
241,535981438769041409
242,535980560712482816
243,535980226560675841
244,535978976330924032
245,535974280589488128
246,535969139383631872
247,535967047327686658
248,535958719691882496
249,535953404154372096
250,535944615980191744
251,535943150628790272
252,535935125213966336
253,535930990964006912
254,535929931364986881
255,535929299111788544
256,535923408182448128
257,535921303539449856
258,535919217540100096
259,535918505401786368
260,535915572606029825
261,535914970471735297
262,535913576503214080
263,535911245313241090
264,535901341408047105
265,535892354692313089
266,535887858222235650
267,535882346323783680
268,535877651769339904
269,535876997357264896
270,535875429744128000
271,535859738626768897
272,535855463330349057
273,535850113898676224
274,535848919247224832
275,535843369126486016
276,535840447630147584
277,535834783172288512
278,535834166785765376
279,535826069631541248
280,535823055197839360
281,535811118133149696
282,535809904187932672
283,535809514461601792
284,535808693573787648
285,535806182238482433
286,535804309326561280
287,535800627960774656
288,535799272495931392
289,535796600506179584
290,535792679788224512
291,535788715776286720
292,535782173413240832
293,535779199815266304
294,535777573301530624
295,535776592304570369
296,535770007377297408
297,535769113449492480
298,535768367697641472
299,535765285933158401
300,535751144426188801
301,535743941522751489
302,535741283604901888
303,535739342418108416
304,535735989608927234
305,535735916736692224
306,535729283483045889
307,535729065005961216
308,535728924039606272
309,535726583185960961
310,535725336957562880
311,535718344243314688
312,535718069537353728
313,535711257526284288
314,535710746504859649
315,535709495893446657
316,535702147405725696
317,535697583801237504
318,535696534344835072
319,535684018701090816
320,535683641028775936
321,535671903323582464
322,535669363169558528
323,535667811042217985
324,535624898279116800
325,535622411857956864
326,535621451177791488
327,535611186155651072
328,535595591901126656
329,535592438497542144
330,535590736498921472
331,535569521919414272
332,535561078416363520
333,535557957053071361
334,535549993181261824
335,535548569311526912
336,535544575687798785
337,535544342635487232
338,535540286265753601
339,535534332304445441
340,535533542189842432
341,535523132057350144
342,535516661957140480
343,535504071911047168
344,535494277229719552
345,535472697501691905
346,535464377420238848
347,535454543967182848
348,535447179268079616
349,535442606394994688
350,535427257347866624
351,535418495899807744
352,535406618868219904
353,535406263887466496
354,535384646847303680
355,535368882329227264
356,535313984107577344
357,535293444806041600
358,535274855894351872
359,535258730489602048
360,535257673621860353
361,535231458374594560
362,535225556531699712
363,535223920606347264
364,535213203886997504
365,535203213751107585
366,535199245968867330
367,535198685622448129
368,535197853640310784
369,535194356672892928
370,535193647894245377
371,535192277044715520
372,535188540897124353
373,535187790750040065
374,535187351207940096
375,535171894048477185
376,535169395115700224
377,535165422858141696
378,535164744924409857
379,535163997134520320
380,535160302384709634
381,535156139420557313
382,535155943060037632
383,535155832447832064
384,535155807986667522
385,535155672980410368
386,535153806833901571
387,535151856218288128
388,535149934774067200
389,535143944292945920
390,535143286663823360
391,535141532144119808
392,535131329948819457
393,535131271350202369
394,535119186998329345
395,535118588785336321
396,535117999217594369
397,535117935027965952
398,535100585654386688
399,535076191292497920
400,535069318095327232
401,535069151937953792
402,535065194024960000
403,535014877203800064
404,535005090017734658
405,534998208829603840
406,534993469039976448
407,534989879529459712
408,534982183707226112
409,534937974866075649
410,534937765247737857
411,534922550287949824
412,534907384402280449
413,534894055948165120
414,534886364249354240
415,534873721404928001
416,534873710725836800
417,534863099581710338
418,534856031806189568
419,534827652121894912
420,534827338782244865
421,534817305470185472
422,534809905879060480
423,534784215800246272
424,534779691782393857
425,534765808350920705
426,534763069390327809
427,534759736739393536
428,534757916235292672
429,534754658070560768
430,534753198029152256
431,534734305306890240
432,534734287678242816
433,534733677012721664
434,534732585906487296
435,534667432406052865
436,534665886427533312
437,534658745704251392
438,534636955116797952
439,534608164696502273
440,534607603960008704
441,534575308561604608
442,534556073903263744
443,534548673481699328
444,534545024839843841
445,534527606885216256
446,534526982147817472
447,534526848710242304
448,534522721896779777
449,534522159582818304
450,534518280497549312
451,534506689853022208
452,534504555216527360
453,534494219122257920
454,534481245166505985
455,534475856463544320
456,534465600647872512
457,534454257748283392
458,534450575090671617
459,534433592768618498
460,534428633738530816
461,534425666020577280
462,534421490369056768
463,534419005705318400
464,534412892947619840
465,534409401827065857
466,534397310961065984
467,534388756988825601
468,534387819410890752
469,534383951721562114
470,534333596505739264
471,534219687102808065
472,534214934788595712
473,534202562313224192
474,534176996775837696
475,534171686753804288
476,534160377509318656
477,534154806026579968
478,534150748200656897
479,534149752774868992
480,534146972450836480
481,534146955283554304
482,534137173055131649
483,534126968359649280
484,534118850284257281
485,534093580777062400
486,534087655617613825
487,534076330917494784
488,534076192396443648
489,534062111669104640
490,534057203515138049
491,534038027983548417
492,534004414168961025
493,533979257979289600
494,533975890200625152
495,533973932714364928
496,533958057366388737
497,533950453734965248
498,533910733437009920
499,533903931160526848
500,533875864434659328
501,533862134669529088
502,533859997311311872
503,533848362077159425
504,533829408511909888
505,533829212143362048
506,533819290064273408
507,533818409029337088
508,533817996620611585
509,533811277508792321
510,533804440994992128
511,533796008535556097
512,533788490958667776
513,533779893667237889
514,533771062694408194
515,533765341261078528
516,533764639583395841
517,533763809471909888
518,533763473852088323
519,533737172675739648
520,533718831198666753
521,533712077706518529
522,533701474568519681
523,533697465330171904
524,533690018259542016
525,533683500646682624
526,533671445940142081
527,533671412620197888
528,533658213217210369
529,533657668523925504
530,533656308067860480
531,533600267875667968
532,533577762620325888
533,533562783259181056
534,533559723954810881
535,533516915629891584
536,533513700310024192
537,533504944264200192
538,533501611176628224
539,533490727552970752
540,533472160023851008
541,533471785808068609
542,533471727519797248
543,533440190715797505
544,533437999363948544
545,533428623546388480
546,533423202547277824
547,533421638965264385
548,533421482098311168
549,533420675831451648
550,533420066633965568
551,533419995708264448
552,533417425019346944
553,533409033483739136
554,533409006102913024
555,533406719377170435
556,533394161500950528
557,533390292750467072
558,533385198160064513
559,533384193804599296
560,533384004318552064
561,533383661585178625
562,533383460149542912
563,533381875398897665
564,533381789973487616
565,533377495241084928
566,533363819293069313
567,533355260728066048
568,533353014166552576
569,533335611269070848
570,533333913834631170
571,533297537604538370
572,533288433830354944
573,533272246446723072
574,533265703554797568
575,533251302961463296
576,533220969322930176
577,533220968710565888
578,533220807887958016
579,533176587756126208
580,533111742197669889
581,533090339847151617
582,533078327733796864
583,533068347869773825
584,533051890100367360
585,533048482119319552
586,533047688552808448
587,533010623706062850
588,533007729011724288
589,532991570036137984
590,532936544319856640
591,532924450623475712
592,532874498689609728
593,532848324559519744
594,532826984477626368
595,532717315197272064
596,532716252121161729
597,532710871462445056
598,532690933574565888
599,532688990449967104
600,532688897621626880
601,532675755465904128
602,532663682673946624
603,532660735177129984
604,532657740221411328
605,532654630954475520
606,532654294886285312
607,532649176237346817
608,532643779917119489
609,532625804724031489
610,532615771177123841
611,532604169946152961
612,532596309308755969
613,532577477399695360
614,532557631752118273
615,532551684225236992
616,532515738188541952
617,532510803707310081
618,532507341577412610
619,532500681090146304
620,532477051094069250
621,532458913548222464
622,532458328329560064
623,532451067699556353
624,532441489474060288
625,532440214128439296
626,532436792696254464
627,532424072844427264
628,532414351433801728
629,532413752633999360
630,532407791215206401
631,532401979293986816
632,532401128277700611
633,532396184800071681
634,532392842790846464
635,532392435402686464
636,532379681643716608
637,532373367610167296
638,532366682866847745
639,532351394452238336
640,532343889777414144
641,532343077269426176
642,532338108151635968
643,532337310021738496
644,532317917019258880
645,532315683363631104
646,532313581749293056
647,532305877685272577
648,532301593908355072
649,532300817592627200
650,532299690466095104
651,532299626502946816
652,532297660716568576
653,532294715673411584
654,532294564233879552
655,532293518199648258
656,532293271104794624
657,532288757748486145
658,532282676141887488
659,532267800505901058
660,532266826974396416
661,532266606685343744
662,532262786039300098
663,532262762605740033
664,532258021670682624
665,532245127540903936
666,532239244547596289
667,532239169901584384
668,532232046425690112
669,532230400920551424
670,532224970919665665
671,532223878987546624
672,532209253009063936
673,532208490559717377
674,532205676492488704
675,532200890925842432
676,532199450010451970
677,532192401394524160
678,532186126383984640
679,532183779306373120
680,532183042790412288
681,532178729020456960
682,532178262923804672
683,532161511264116736
684,532158000484855808
685,532155969568923649
686,532147928551682048
687,532146810295705600
688,532141050715176960
689,532136252473352192
690,532134370061336576
691,532132908887461888
692,532132572315521024
693,532114070556516353
694,532108345470386176
695,532081590655262720
696,532080007653257217
697,532076642739683328
698,532049348541317120
699,532047119025451008
700,532044106269069313
701,532038294880940032
702,532029560238645248
703,531971596337295360
704,531971567610519552
705,531971363540828160
706,531965947087958016
707,531955697584332800
708,531948341681463296
709,531945670887088128
710,531939561132527616
711,531938517803614209
712,531934394710515712
713,531933695054069760
714,531932764086751232
715,531929661794975744
716,531929132742213634
717,531927082344136708
718,531925383265153024
719,531924199888408579
720,531922014005911553
721,531921413423513600
722,531918202272743424
723,531917074504114177
724,531916684911980545
725,531916402509508609
726,531916354618916864
727,531916271240351745
728,531914365528592384
729,531908049431064576
730,531894743115239425
731,531866965447802880
732,531865586834616320
733,531821130365939714
734,531816631979503616
735,531816622240325632
736,531815669328003072
737,531799588785881088
738,531797143733166082
739,531797072882565122
740,531784902094905344
741,531698924176695296
742,531696386405044225
743,531690752225861632
744,531690534629560320
745,531685341229744128
746,531652340240355329
747,531636030366289921
748,531612465197752320
749,531609540379164672
750,531608493112168448
751,531601193240649728
752,531598526447632384
753,531568722784559105
754,531562715400380416
755,531553560173871104
756,531544266531938307
757,531541892014428160
758,531531572374413312
759,531510092626403328
760,531503041652871168
761,531488645736566784
762,531485599891341312
763,531470002281394176
764,531448203095592960
765,531431671162494976
766,531383249239810048
767,531376648244187136
768,531335445838188545
769,531328494924738560
770,531328437521510400
771,531327359107203072
772,531317009272012800
773,531313559939346432
774,531307975026425856
775,531307112534933504
776,531294231768616961
777,531294222742462464
778,531261426468265985
779,531241728502923264
780,531240761480970240
781,531229129023426560
782,531216790798761987
783,531210788598714368
784,531210696806379520
785,531206711340990464
786,531205596213964800
787,531205096773021697
788,531205012886933504
789,531203784421433345
790,531202155697672192
791,531201788809334784
792,531200910803079168
793,531200848119222272
794,531199641736720384
795,531151825291194368
796,531140785832726528
797,531111263481626624
798,531109409276297216
799,531051022249365504
800,530999898771296256
801,530995026802008065
802,530988896960536576
803,530931360845037568
804,530902139754020864
805,530900808729362432
806,530900338287861760
807,530893967483629568
808,530866399141724161
809,530865245271900161
810,530837537359929345
811,530836938874683392
812,530835419794255874
813,530830444515045377
814,530815965353631745
815,530809697935175680
816,530809615907561472
817,530787089822916608
818,530768847692124160
819,530765107782250496
820,530764346532458496
821,530743562397577216
822,530743116119412736
823,530742996212670464
824,530742599645401089
825,530712235229073408
826,530618654480547840
827,530612857579503616
828,530579620274634752
829,530577945698775041
830,530572218783502336
831,530571548319809536
832,530566210480795648
833,530565543510945795
834,530540433127256065
835,530532316314361856
836,530495591068225537
837,530491153159057409
838,530490901106552832
839,530487805643063297
840,530480501539475457
841,530478970652098561
842,530472326253785088
843,530468528298930176
844,530463592500719616
845,530448221957791744
846,530446766970511360
847,530428451480948736
848,530400862158749696
849,530397135834206208
850,530396512694833152
851,530395748521619457
852,530387448862605312
853,530369400239837184
854,530361134831120384
855,530304527132786688
856,530275829818081280
857,530262045858353153
858,530208871210446848
859,530200180889362432
860,530187222977216512
861,530149199241674754
862,530148387593531392
863,530127224675250176
864,530110611666239488
865,530108522361798659
866,530102066778484736
867,530101951015690241
868,530101398386794496
869,530086232270073858
870,530084499992768513
871,530048684155609089
872,530038558619619329
873,530030317911150592
874,530013016512004097
